Date,Open,High,Low,Close,Volume,hash-rate,difficulty,output-volume
2020-04-11,6867.4404296875,6926.06982421875,6789.9208984375,6859.0830078125,31222085946,116308064.119463,14715214060657.0,608915.365841462
2020-04-12,6858.06787109375,7119.947265625,6811.078125,6971.091796875,35759567632,111919080.567785,14715214060657.0,494233.050258298
2020-04-13,6965.61669921875,6965.61669921875,6668.259765625,6845.03759765625,38619308647,125086031.222819,14715214060657.0,985586.612082916
2020-04-14,6843.28173828125,6958.55712890625,6793.8212890625,6842.427734375,34110434052,122891539.44698,14715214060657.0,773028.957715486
2020-04-15,6845.5615234375,6928.66455078125,6633.40283203125,6642.10986328125,32288311031,123623036.705593,14715214060657.0,877779.734540594
2020-04-16,6640.4541015625,7134.45068359375,6555.50439453125,7116.80419921875,46783242377,112650577.826398,14715214060657.0,1109195.64760975
2020-04-17,7116.552734375,7167.18310546875,7050.33203125,7096.1845703125,32513423567,92900151.843848,14715214060657.0,945920.019087213
2020-04-18,7092.29150390625,7269.95654296875,7089.2470703125,7257.6650390625,32447188386,115576566.86085,14715214060657.0,613279.302850086
2020-04-19,7260.92236328125,7280.52197265625,7167.0546875,7189.4248046875,31311210215,111187583.309172,14715214060657.0,547594.508733469
2020-04-20,7186.87353515625,7240.29052734375,6835.5029296875,6881.95849609375,37747113936,117771058.636689,14715214060657.0,839780.608285255
2020-04-21,6879.7841796875,6934.5517578125,6834.4423828125,6880.3232421875,32589741511,115730561.554044,15624843397592.5,810070.433540893
2020-04-22,6879.4404296875,7145.86572265625,6867.78173828125,7117.20751953125,33249153866,103923467.233466,15958652328578.0,866718.352478309
2020-04-23,7121.30615234375,7491.78515625,7081.5947265625,7429.724609375,43500782316,112649865.245436,15958652328578.0,924532.437602299
2020-04-24,7434.181640625,7574.19580078125,7434.181640625,7550.90087890625,34636526286,114236483.065795,15958652328578.0,1265403.31533266
2020-04-25,7550.48291015625,7641.36376953125,7521.67236328125,7569.93603515625,32941541447,107890011.784362,15958652328578.0,612813.214824569
2020-04-26,7570.13916015625,7700.59423828125,7561.40771484375,7679.8671875,33070154491,108683320.694541,15958652328578.0,523828.657864635
2020-04-27,7679.4189453125,7795.60107421875,7679.4189453125,7795.60107421875,36162144725,111856556.335257,15958652328578.0,1035215.22430837
2020-04-28,7796.97021484375,7814.52734375,7730.806640625,7807.05859375,33187959921,122169572.167586,15958652328578.0,881270.46901014
