Date,Open,High,Low,Close,Volume,hash-rate,difficulty,output-volume,volatility,ma_7,ma_30,close_lag_1,close_lag_3,hashrate_lag_1,daily_sentiment
2020-05-10,9591.1689453125,9595.5810546875,8395.107421875,8756.4306640625,63325279337,136097634.814617,16104807485529.0,805120.27036456,1200.4736328125,9332.71400669643,7969.0609375,9593.896484375,9951.5185546875,108878107.851694,0.0
2020-05-11,8755.53515625,9033.470703125,8374.3232421875,8601.7958984375,57119858802,125690168.622911,16104807485529.0,1165274.92614542,659.1474609375,9288.3056640625,8027.1513671875,8756.4306640625,9842.666015625,136097634.814617,0.0
2020-05-12,8610.3857421875,8949.8984375,8569.6435546875,8804.4775390625,42142717533,116883851.076083,16104807485529.0,1205576.90515208,380.2548828125,9259.935267857143,8088.264225260416,8601.7958984375,9593.896484375,125690168.622911,0.0
2020-05-13,8805.3876953125,9317.87890625,8805.3876953125,9269.9873046875,45558144023,95268344.370232,16104807485529.0,1111537.86226089,512.4912109375,9260.1103515625,8169.095882161459,8804.4775390625,8756.4306640625,116883851.076083,0.0
2020-05-14,9271.3291015625,9793.2685546875,9255.03515625,9733.7216796875,56426907637,91265472.7580373,16104807485529.0,1138602.39322196,538.2333984375,9228.996512276786,8265.472347005209,9269.9873046875,8601.7958984375,95268344.370232,0.0
2020-05-15,9734.291015625,9755.828125,9261.3984375,9328.197265625,48158802327,100071790.304866,16104807485529.0,1004693.83507288,494.4296875,9155.5009765625,8355.00859375,9733.7216796875,8804.4775390625,91265472.7580373,0.0
2020-05-16,9333.240234375,9564.205078125,9260.6943359375,9377.013671875,36164766408,100872364.627304,16104807485529.0,588481.035675438,303.5107421875,9124.51771763393,8430.348909505208,9328.197265625,9269.9873046875,100071790.304866,0.0
2020-05-17,9374.9296875,9823.001953125,9349.5458984375,9670.7392578125,40084250663,81658580.8887703,16104807485529.0,587798.415081619,473.4560546875,9255.133231026786,8516.167399088541,9377.013671875,9733.7216796875,100872364.627304,0.0
2020-05-18,9675.6953125,9906.0302734375,9570.359375,9726.5751953125,41827139896,102473513.272182,16104807485529.0,1062998.79589118,335.6708984375,9415.815987723214,8598.464404296876,9670.7392578125,9328.197265625,81658580.8887703,0.0
2020-05-19,9727.0634765625,9836.0478515625,9539.6240234375,9729.0380859375,39254288955,92066047.0804763,16104807485529.0,1176856.58096745,296.423828125,9547.896065848214,8683.118180338543,9726.5751953125,9377.013671875,102473513.272182,0.0
2020-05-20,9725.3291015625,9804.7939453125,9447.201171875,9522.9814453125,36546239703,86971887.3185643,15213703057048.3,1085395.61863261,357.5927734375,9584.0380859375,8771.152278645834,9729.0380859375,9670.7392578125,92066047.0804763,0.0
2020-05-21,9522.740234375,9555.2421875,8869.9306640625,9081.76171875,39326160532,98579623.7035512,15138043247083.0,981107.891056958,685.3115234375,9490.900948660714,8844.533561197917,9522.9814453125,9726.5751953125,86971887.3185643,0.0
2020-05-22,9080.3349609375,9232.9365234375,9008.638671875,9182.5771484375,29810773699,83529299.4740014,15138043247083.0,987088.019611931,224.2978515625,9470.098074776786,8913.379215494791,9081.76171875,9729.0380859375,98579623.7035512,0.0
2020-05-23,9185.0625,9302.501953125,9118.1083984375,9209.287109375,27727866812,89549429.1658213,15138043247083.0,556030.768258092,184.3935546875,9446.137137276786,8972.697965494792,9182.5771484375,9522.9814453125,83529299.4740014,0.0
2020-05-24,9212.283203125,9288.404296875,8787.2509765625,8790.3681640625,32518803300,87291880.5313888,15138043247083.0,595935.213819698,501.1533203125,9320.369838169643,9014.013541666667,9209.287109375,9081.76171875,89549429.1658213,0.0
2020-05-25,8786.107421875,8951.005859375,8719.66796875,8906.9345703125,31288157264,94064526.4346863,15138043247083.0,1099658.34870169,231.337890625,9203.2783203125,9058.580159505207,8790.3681640625,9182.5771484375,87291880.5313888,0.0
2020-05-26,8909.5859375,8991.9677734375,8757.2939453125,8835.052734375,29584186947,93312010.2232088,15138043247083.0,952761.581576603,234.673828125,9075.566127232143,9097.08634440104,8906.9345703125,9209.287109375,94064526.4346863,0.0
2020-05-27,8837.380859375,9203.3203125,8834.1572265625,9181.017578125,32740536902,103847237.183894,15138043247083.0,1106668.09300837,369.1630859375,9026.714146205357,9143.26689453125,8835.052734375,8790.3681640625,93312010.2232088,0.0
2020-05-28,9184.9453125,9546.3193359375,9148.45703125,9525.7509765625,34367073114,98579623.7035512,15138043247083.0,839340.520864076,397.8623046875,9090.141183035714,9200.556640625,9181.017578125,8906.9345703125,103847237.183894,0.0
2020-05-29,9528.35546875,9573.6669921875,9379.3388671875,9439.1240234375,32896642044,95569558.8576412,15138043247083.0,1047675.48051426,194.328125,9126.790736607143,9221.826171875,9525.7509765625,8835.052734375,98579623.7035512,0.0
2020-05-30,9438.9140625,9704.0302734375,9366.7294921875,9700.4140625,32722975141,117392528.990488,15138043247083.0,587440.145320611,337.30078125,9196.951729910714,9256.554850260416,9439.1240234375,9181.017578125,95569558.8576412,0.0
2020-05-31,9700.10546875,9700.34375,9432.296875,9461.05859375,27773290299,112877431.721623,15138043247083.0,752990.409021887,268.046875,9292.7646484375,9276.43125,9700.4140625,9525.7509765625,117392528.990488,0.0
2020-06-01,9463.60546875,10199.5654296875,9450.8994140625,10167.2685546875,35198901068,100837172.337984,15138043247083.0,1253496.17612293,748.666015625,9472.81236049107,9315.7203125,9461.05859375,9439.1240234375,112877431.721623,0.0
2020-06-02,10162.9736328125,10182.3408203125,9460.5712890625,9529.8037109375,39137252109,97074591.2805962,15138043247083.0,1566267.80336628,721.76953125,9572.0625,9336.79814453125,10167.2685546875,9700.4140625,100837172.337984,0.0
2020-06-03,9533.7607421875,9682.859375,9471.8466796875,9656.7177734375,25007459262,104599753.395371,15138043247083.0,1129212.65239848,211.0126953125,9640.01967075893,9361.600260416666,9529.8037109375,9461.05859375,97074591.2805962,0.0
2020-06-04,9655.8544921875,9887.6103515625,9525.2470703125,9800.63671875,25921805072,108668660.65278,14477089134396.8,1152648.34209259,362.36328125,9679.2890625,9388.185807291668,9656.7177734375,10167.2685546875,104599753.395371,0.0
2020-06-05,9800.2158203125,9869.2373046875,9663.216796875,9665.533203125,23509628646,122192367.725211,13732352106018.0,1061346.60727637,206.0205078125,9711.633231026786,9401.4115234375,9800.63671875,9529.8037109375,108668660.65278,0.0
2020-06-06,9664.904296875,9773.431640625,9591.0244140625,9653.6796875,20438419222,133797229.464477,13732352106018.0,499113.05981015,182.4072265625,9704.95689174107,9391.483561197916,9665.533203125,9656.7177734375,122192367.725211,0.0
2020-06-07,9653.0029296875,9768.498046875,9458.150390625,9758.8525390625,25015250846,108539589.208428,13732352106018.0,452165.291612093,310.34765625,9747.49888392857,9388.689778645834,9653.6796875,9800.63671875,133797229.464477,0.0
2020-06-08,9760.0634765625,9782.306640625,9675.8857421875,9771.4892578125,21486346312,110587505.985945,13732352106018.0,983934.73421203,106.4208984375,9690.958984375,9394.609537760416,9758.8525390625,9665.533203125,108539589.208428,0.0
2020-06-09,9774.3603515625,9836.369140625,9664.7197265625,9795.7001953125,23717842783,109222228.134267,13732352106018.0,879184.175881874,171.6494140625,9728.94419642857,9429.25185546875,9771.4892578125,9653.6796875,110587505.985945,0.0
2020-06-10,9794.119140625,9908.896484375,9728.291015625,9870.0947265625,25706567601,111952783.837623,13732352106018.0,1195978.12128421,180.60546875,9759.42661830357,9471.528483072916,9795.7001953125,9758.8525390625,109222228.134267,0.0
2020-06-11,9870.078125,9938.2978515625,9263.0693359375,9321.78125,30247143440,126288201.280246,13732352106018.0,1001631.28565624,675.228515625,9691.01869419643,9488.771940104169,9870.0947265625,9771.4892578125,111952783.837623,0.0
2020-06-12,9320.6904296875,9540.4658203125,9285.8515625,9480.84375,22610564515,111270144.911784,13732352106018.0,830253.863744253,254.6142578125,9664.634486607143,9495.80048828125,9321.78125,9795.7001953125,126288201.280246,0.0
2020-06-13,9480.7353515625,9493.2119140625,9396.009765625,9475.27734375,17564322315,107856950.282588,13732352106018.0,582211.681689125,97.2021484375,9639.1484375,9487.185677083333,9480.84375,9870.0947265625,111270144.911784,0.0
2020-06-14,9477.5537109375,9482.2705078125,9347.59375,9386.7880859375,18991732746,116048617.392658,13732352106018.0,479773.867716293,134.6767578125,9585.996372767857,9489.138704427083,9475.27734375,9321.78125,107856950.282588,0.0
2020-06-15,9386.03515625,9504.8603515625,8990.17578125,9450.7021484375,26699704768,94204171.7658051,13732352106018.0,1010530.12387002,514.6845703125,9540.169642857143,9491.594986979168,9386.7880859375,9480.84375,116048617.392658,0.0
2020-06-16,9454.2666015625,9579.4306640625,9400.4453125,9538.0244140625,21565537209,106374812.691088,14265974077877.3,1354151.1693022,178.9853515625,9503.358816964286,9487.171158854168,9450.7021484375,9475.27734375,94204171.7658051,0.0
2020-06-17,9533.7841796875,9540.4228515625,9327.33984375,9480.2548828125,20177709879,108283617.573483,15784744305477.0,935895.462594491,213.0830078125,9447.667410714286,9478.960481770831,9538.0244140625,9386.7880859375,106374812.691088,0.0
2020-06-18,9481.5673828125,9482.7822265625,9328.3955078125,9411.8408203125,17770083003,97298323.0370428,15784744305477.0,787459.576308072,154.38671875,9460.53306361607,9468.387239583331,9480.2548828125,9450.7021484375,108283617.573483,0.0
2020-06-19,9410.2939453125,9440.8759765625,9274.2958984375,9288.0185546875,19632223107,111422273.155323,15784744305477.0,1446849.25137761,166.580078125,9432.986607142857,9460.555143229169,9411.8408203125,9538.0244140625,97298323.0370428,0.0
2020-06-20,9290.9599609375,9394.9716796875,9247.3798828125,9332.3408203125,17130541557,107498953.678023,15784744305477.0,544762.336902044,147.591796875,9412.567103794643,9468.907779947916,9288.0185546875,9480.2548828125,111422273.155323,0.0
2020-06-21,9330.9267578125,9401.107421875,9300.4306640625,9303.6298828125,15324301169,114560928.737163,15784744305477.0,475839.887667669,100.6767578125,9400.68736049107,9472.94287109375,9332.3408203125,9411.8408203125,107498953.678023,0.0
